Utility,BinarySize
kill,175704
expr,529184
expand,179952
stdbuf,194384
cut,202048
stty,255216
who,198016
dd,297384
ls,643408
logname,162136
blake2,4096
du,778016
timeout,189072
users,169448
csplit,534368
truncate,181416
join,234760
tail,320024
mkfifo,318744
stat,362080
extract-magic,4661
tsort,251016
nproc,182304
pinky,193512
chmod,285920
runcon,173048
du-tests,1731
basenc,235512
mv,602272
split,255280
unexpand,181768
pwd,176000
touch,346184
link,162400
sleep,175960
false,153680
groups,176632
dcgen,1335
date,392768
test,189480
nice,173792
sha256sum,250816
base32,193784
sha224sum,250816
shuf,279272
dir,643416
mkdir,353328
readlink,223160
rm,317744
base64,193064
fmt,196856
printf,201000
id,204096
vdir,643416
cat,186016
tr,219008
chcon,310496
make-prime-list,36272
pr,332976
sort,509824
comm,192408
factor,351944
unlink,162336
sha384sum,284232
chroot,203560
tee,184560
whoami,162712
cksum,599424
numfmt,266032
getlimits,189360
fold,181416
md5sum,214576
dirname,163488
[,202592
cp,596240
od,262424
rmdir,175288
basename,164992
mktemp,181904
sha512sum,284232
seq,193952
ginstall,647576
tac,491192
true,153672
uniq,213432
pathchk,167464
yes,166232
hostid,162032
paste,176928
echo,162952
printenv,160448
chgrp,300728
realpath,228328
uname,162736
nl,493040
shred,284376
nohup,182288
sha1sum,229120
sum,220808
mknod,332040
b2sum,281952
env,204856
df,368912
ln,321288
sync,166160
uptime,238872
dircolors,195888
tty,159744
chown,312600
ptx,602104
head,211976
wc,251760
