Software System,Repository (url),Version/Commit,#LOCs (cloc),Documentation of options (url),#Options (manual search),Paper (url)
x264,https://github.com/mirror/x264,e067ab0b,115318,http://www.chaneru.com/Roku/HLS/X264_Settings.htm ,119,https://arxiv.org/pdf/1709.02280.pdf
linux,https://github.com/torvalds/linux,3d7cb6b04c3f,23970553,Counting with Aaron's script https://gist.github.com/garandria/889c8b0816de62914aa968d4d9da01f6 & keeping the result for the last Linux version (5.19),20084,https://hal.inria.fr/hal-03720273
FFmpeg,https://github.com/FFmpeg/FFmpeg,d2f482965f,1337015,https://www.ffmpeg.org/ffmpeg.html#toc-Generic-options,166,to find
httpd,https://github.com/apache/httpd,8ea5f43aa7,432514,"the configuration is in a .config file, see http://web.mit.edu/rhel-doc/4/RH-DOCS/rhel-rg-fr-4/s1-apache-config.html I found 69 configuration words, but the paper mentions only 11 options alltogether, so I might be wrong",69,https://www.cs.cmu.edu/~ckaestne/pdf/fse15_influence.pdf
je ,https://github.com/berkeleydb/je ,10c9f34,607632,"Searching for <code class=""option""> in https://github.com/berkeleydb/je/blob/master/docs/GettingStartedGuide/commandlinetools.html 26 binary options + 4 numerical options at the beginning ",30,https://www.cs.cmu.edu/~ckaestne/pdf/fse15_influence.pdf
llvm ,https://github.com/llvm/llvm-project/tree/main/llvm ,19d11b4d9de8,2993916,https://github.com/llvm/llvm-project/blob/main/llvm/docs/CommandGuide/llvm-config.rst,28,https://www.cs.cmu.edu/~ckaestne/pdf/fse15_influence.pdf
lrzip,https://github.com/ckolivas/lrzip,7bd6253,17251,https://linux.die.net/man/1/lrzip,27,https://www.cs.cmu.edu/~ckaestne/pdf/fse15_influence.pdf
dune,https://github.com/ocaml/dune,5736b997b,112379,https://manpages.ubuntu.com/manpages/impish/man1/dune-exec.1.html,43,https://hal.archives-ouvertes.fr/hal-03335263/document
vp9,https://github.com/webmproject/libvpx/tree/main/vp9,5820823ef,73176,removing reduncancy & vp8 options in https://manpages.debian.org/testing/vpx-tools/vpxenc.1.en.html ,81,https://www.se.cs.uni-saarland.de/publications/docs/KaGrSi+19.pdf
7-Zip,https://github.com/mcmilk/7-Zip,c2a1bdb0,231730,https://sevenzip.osdn.jp/chm/cmdline/switches/index.htm,48,https://www.se.cs.uni-saarland.de/publications/docs/KaGrSi+19.pdf
Polly,https://github.com/App-vNext/Polly,addc946,41746,"going through the wiki, did count about 20 parameters. Trusting the paper stating there exist 40 options",40,https://www.se.cs.uni-saarland.de/publications/docs/KaGrSi+19.pdf
mysql-server,https://github.com/mysql/mysql-server,fbdaa4def30,3933834,https://dev.mysql.com/doc/refman/8.0/en/server-options.html,80,https://arxiv.org/pdf/2010.01397.pdf
clasp,https://github.com/google/clasp,6775d9f,17966,"README file repository, counting the options, maybe a bit more than in the paper published in 2018 - makes sense",27,https://www.cs.cmu.edu/~ckaestne/pdf/sosym18.pdf
kanzi,https://github.com/flanglet/kanzi,76804d6,22146,https://github.com/flanglet/kanzi/wiki/Main-page#block-compressor,19,https://arxiv.org/pdf/1905.02066.pdf
