program,options,size
[,297584,24
arch,194864,2
b2sum,370488,13
base32,241264,5
base64,240248,5
basename,197680,5
basenc,291464,13
cat,224272,12
chcon,361080,16
chgrp,372080,14
chmod,349320,9
chown,383624,15
chroot,248256,5
cksum,769160,14
comm,230552,10
coreutils,192512,2
cp,675152,33
csplit,285136,9
cut,243840,12
date,559416,12
dd,420568,2
df,517904,18
dir,825688,60
dircolors,235744,6
dirname,196064,3
du,607656,28
echo,200448,5
env,246008,11
expand,215536,5
expr,280192,2
factor,413256,2
false,189088,2
fmt,238472,9
fold,219472,5
groups,211568,2
head,261656,7
hostid,194336,2
hostname,197184,2
id,247040,10
join,290048,15
kill,211008,5
link,194640,2
ln,394584,16
logname,194400,2
ls,825688,60
md5sum,268648,12
mkdir,309736,7
mkfifo,206880,5
mknod,219608,5
mktemp,218456,8
mv,755664,14
nice,208920,3
nl,232920,13
nohup,218600,2
nproc,218552,4
numfmt,335752,18
od,381056,21
paste,213312,5
pathchk,205320,5
pinky,232120,11
pr,421288,26
printenv,192288,2
printf,306088,2
ptx,372192,19
pwd,209832,4
readlink,272560,10
realpath,283640,11
rm,386192,12
rmdir,264408,5
runcon,192768,7
seq,287616,5
sha1sum,283480,12
sha224sum,306968,12
sha256sum,306968,12
sha384sum,341448,12
sha512sum,341448,12
shred,362888,11
shuf,352792,9
sleep,211152,2
sort,644416,31
split,311576,17
stat,497168,8
stdbuf,288056,5
stty,361032,5
sum,273320,4
sync,199360,4
tac,231184,5
tail,393856,13
tee,221336,6
test,284824,2
timeout,225000,7
touch,495456,11
tr,272312,6
true,189088,2
truncate,219808,6
tsort,322584,2
tty,191120,3
uname,194856,11
unexpand,218432,6
uniq,259984,13
unlink,194552,2
uptime,299240,2
users,207688,2
vdir,825696,60
wc,292216,8
who,295144,18
whoami,194944,2
yes,200240,2
