version,arch,expr,factor,false,groups,hostid,hostname,link,logname,nohup,printf,sleep,true,tsort,unlink,uptime,users,whoami,yes
v4.5.1,-,3,2,-,-,2,2,2,2,-,2,2,2,2,2,2,2,2,2
v4.5.2,-,3,2,-,-,2,2,2,2,-,2,2,2,2,2,2,2,2,2
v4.5.3,-,3,2,-,-,2,2,2,2,-,2,2,2,2,2,2,2,2,2
v4.5.4,-,3,2,-,-,2,2,2,2,-,2,2,2,2,2,2,2,2,2
v4.5.5,-,3,2,-,-,2,2,2,2,-,2,2,2,2,2,2,2,2,2
v4.5.6,-,3,2,-,-,2,2,2,2,-,2,2,2,2,2,2,2,2,2
v4.5.7,-,3,2,-,-,2,2,2,2,-,2,2,2,2,2,2,2,2,2
v4.5.8,-,3,2,-,-,2,2,2,2,-,2,2,2,2,2,2,2,2,2
v4.5.9,-,3,2,-,-,2,2,2,2,-,2,2,2,2,2,2,2,2,2
v4.5.10,-,3,2,-,-,2,2,2,2,-,2,2,2,2,2,2,2,2,2
v4.5.11,-,3,2,-,-,2,2,2,2,-,2,2,2,2,2,2,2,2,2
v4.5.12,-,3,2,-,-,2,2,2,2,-,2,2,2,2,2,2,2,2,2
v5.0,-,3,2,-,-,2,2,2,2,-,2,2,2,2,2,2,2,2,2
v5.0.1,-,3,2,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v5.0.90,-,3,2,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v5.0.91,-,3,2,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v5.1.0,-,3,2,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v5.1.1,-,3,2,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v5.1.2,-,3,2,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v5.1.3,-,3,2,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v5.2.0,-,3,2,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v5.2.1,-,3,2,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v5.3.0,-,3,2,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v5.90,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v5.91,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v5.92,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v6.0,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v6.1,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v6.2,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v6.3,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v6.4,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v6.5,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v6.6,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v6.7,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v6.8,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v6.9,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v6.9.89,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v6.9.90,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v6.9.91,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v6.9.92,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v6.10,-,3,2,0,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v6.11,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v6.12,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v7.0,-,5,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v7.1,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v7.2,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v7.3,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v7.4,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v7.5,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v7.6,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.0,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.1,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.2,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.3,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.4,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.5,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.6,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.7,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.8,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.9,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.10,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.11,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.12,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.13,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.14,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.15,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.16,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.17,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.18,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.19,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.20,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.21,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.22,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.23,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.24,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.25,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.26,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.27,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.28,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.29,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.30,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.31,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v8.32,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v9.0,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
v9.1,-,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
