program,options,size,size KiB,LoC
[,24,297584,290,653
arch,2,194864,190,287
b2sum,13,370488,361,1243
base32,5,241264,235,940
base64,5,240248,234,940
basename,5,197680,193,133
basenc,13,291464,284,940
cat,12,224272,219,526
chcon,16,361080,352,447
chgrp,14,372080,363,250
chmod,9,349320,341,436
chown,15,383624,374,261
chroot,5,248256,242,320
cksum,14,769160,751,1439
comm,10,230552,225,349
cp,33,675152,659,907
csplit,9,285136,278,1063
cut,12,243840,238,413
date,12,559416,546,549
dd,2,420568,410,1913
df,18,517904,505,1363
dir,60,825688,806,4095
dircolors,6,235744,230,412
dirname,3,196064,191,98
du,28,607656,593,816
echo,5,200448,195,216
env,11,246008,240,636
expand,5,215536,210,144
expr,2,280192,273,779
factor,2,413256,403,1909
false,2,189088,184,52
fmt,9,238472,232,665
fold,5,219472,214,225
groups,2,211568,206,103
head,7,261656,255,779
hostid,2,194336,189,50
hostname,2,197184,192,80
install,21,740352,723,799
id,10,247040,241,343
join,15,290048,283,899
kill,5,211008,206,252
link,2,194640,190,163
ln,16,394584,385,522
logname,2,194400,189,52
ls,60,825688,806,4095
md5sum,12,268648,262,1243
mkdir,7,309736,302,229
mkfifo,5,206880,202,150
mknod,5,219608,214,225
mktemp,8,218456,213,280
mv,14,755664,737,374
nice,3,208920,204,156
nl,13,232920,227,454
nohup,2,218600,213,151
nproc,4,218552,213,90
numfmt,18,335752,327,1194
od,21,381056,372,1430
paste,5,213312,208,357
pathchk,5,205320,200,298
pinky,11,232120,226,438
pr,26,421288,411,1698
printenv,2,192288,187,105
printf,2,306088,298,574
ptx,19,372192,363,1218
pwd,4,209832,204,266
readlink,10,272560,266,141
realpath,11,283640,276,222
rm,12,386192,377,298
rmdir,5,264408,258,213
runcon,7,192768,188,191
seq,5,287616,280,527
sha1sum,12,283480,276,1243
sha224sum,12,306968,299,1243
sha256sum,12,306968,299,1243
sha384sum,12,341448,333,1243
sha512sum,12,341448,333,1243
shred,11,362888,354,841
shuf,9,352792,344,429
sleep,2,211152,206,102
sort,31,644416,629,3429
split,17,311576,304,1279
stat,8,497168,485,1685
stdbuf,5,288056,281,286
stty,5,361032,352,2025
sum,4,273320,266,1391
sync,4,199360,194,175
tac,5,231184,225,481
tail,13,393856,384,1748
tee,6,221336,216,208
test,2,284824,278,653
timeout,7,225000,219,423
touch,11,495456,483,318
tr,6,272312,265,1322
true,2,189088,184,50
truncate,6,219808,214,306
tsort,2,322584,315,368
tty,3,191120,186,86
uname,11,194856,190,287
unexpand,6,218432,213,201
uniq,13,259984,253,488
unlink,2,194552,189,54
uptime,2,299240,292,194
users,2,207688,202,104
vdir,60,825696,806,4095
wc,8,292216,285,775
who,18,295144,288,621
whoami,2,194944,190,59
yes,2,200240,195,88
