program,options,size,size KiB,LoC,countw,usage,comp
[,24,297584,290,653,4152,2,4
arch,2,194864,190,287,19,0,13
b2sum,13,370488,361,1243,0,0,12
base32,5,241264,235,940,0,0,5
base64,5,240248,234,940,1,0,5
basename,5,197680,193,133,8,0,2
basenc,13,291464,284,940,0,0,5
cat,12,224272,219,526,356,1,4
chcon,16,361080,352,447,0,0,2
chgrp,14,372080,363,250,0,0,0
chmod,9,349320,341,436,9,0,2
chown,15,383624,374,261,0,0,2
chroot,5,248256,242,320,0,0,6
cksum,14,769160,751,1439,0,0,13
comm,10,230552,225,349,3,0,2
cp,33,675152,659,907,64,1,2
csplit,9,285136,278,1063,0,0,7
cut,12,243840,238,413,163,1,3
date,12,559416,546,549,7,0,5
dd,2,420568,410,1913,67,1,11
df,18,517904,505,1363,3,0,2
dir,60,825688,806,4095,110,1,18
dircolors,6,235744,230,412,0,0,5
dirname,3,196064,191,98,1,0,2
du,28,607656,593,816,0,0,3
echo,5,200448,195,216,6925,2,3
env,11,246008,240,636,9,0,3
expand,5,215536,210,144,3,0,2
expr,2,280192,273,779,2,0,3
factor,2,413256,403,1909,5,0,11
false,2,189088,184,52,95,1,3
fmt,9,238472,232,665,2,0,26
fold,5,219472,214,225,2,0,3
groups,2,211568,206,103,61,1,2
head,7,261656,255,779,82,1,3
hostid,2,194336,189,50,0,0,2
hostname,2,197184,192,80,3,0,3
install,21,740352,723,799,74,1,5
id,10,247040,241,343,1161,2,2
join,15,290048,283,899,24,0,4
kill,5,211008,206,252,144,1,2
link,2,194640,190,163,5081,2,2
ln,16,394584,385,522,7,0,2
logname,2,194400,189,52,0,0,2
ls,60,825688,806,4095,75,1,18
md5sum,12,268648,262,1243,25,0,12
mkdir,7,309736,302,229,86,1,2
mkfifo,5,206880,202,150,0,0,2
mknod,5,219608,214,225,6,0,2
mktemp,8,218456,213,280,3,0,2
mv,14,755664,737,374,61,1,2
nice,3,208920,204,156,1,0,5
nl,13,232920,227,454,0,0,2
nohup,2,218600,213,151,3,0,3
nproc,4,218552,213,90,0,0,2
numfmt,18,335752,327,1194,0,0,3
od,21,381056,372,1430,0,0,13
paste,5,213312,208,357,0,0,3
pathchk,5,205320,200,298,0,0,7
pinky,11,232120,226,438,0,0,3
pr,26,421288,411,1698,1,0,5
printenv,2,192288,187,105,0,0,2
printf,2,306088,298,574,853,1,3
ptx,19,372192,363,1218,0,0,11
pwd,4,209832,204,266,3,0,2
readlink,10,272560,266,141,0,0,2
realpath,11,283640,276,222,1,0,2
rm,12,386192,377,298,338,1,2
rmdir,5,264408,258,213,35,0,2
runcon,7,192768,188,191,0,0,2
seq,5,287616,280,527,7,0,6
sha1sum,12,283480,276,1243,3,0,12
sha224sum,12,306968,299,1243,0,0,12
sha256sum,12,306968,299,1243,1,0,12
sha384sum,12,341448,333,1243,0,0,12
sha512sum,12,341448,333,1243,0,0,12
shred,11,362888,354,841,0,0,4
shuf,9,352792,344,429,0,0,2
sleep,2,211152,206,102,850,1,2
sort,31,644416,629,3429,85,1,20
split,17,311576,304,1279,26,0,4
stat,8,497168,485,1685,98,1,9
stdbuf,5,288056,281,286,3,0,3
stty,5,361032,352,2025,0,0,41
sum,4,273320,266,1391,17,0,12
sync,4,199360,194,175,17,0,3
tac,5,231184,225,481,2,0,4
tail,13,393856,384,1748,58,1,10
tee,6,221336,216,208,172,1,2
test,2,284824,278,653,1771,2,4
timeout,7,225000,219,423,137,1,5
touch,11,495456,483,318,45,0,4
tr,6,272312,265,1322,73,1,5
true,2,189088,184,50,284,1,3
truncate,6,219808,214,306,9,0,2
tsort,2,322584,315,368,1,0,3
tty,3,191120,186,86,0,0,2
uname,11,194856,190,287,21,0,13
unexpand,6,218432,213,201,0,0,2
uniq,13,259984,253,488,12,0,2
unlink,2,194552,189,54,5,0,2
uptime,2,299240,292,194,0,0,2
users,2,207688,202,104,6,0,2
vdir,60,825696,806,4095,0,0,18
wc,8,292216,285,775,159,1,3
who,18,295144,288,621,1,0,10
whoami,2,194944,190,59,0,0,2
yes,2,200240,195,88,19,0,2
