version arch expr factor false groups hostid hostname link logname nohup printf sleep test true tsort unlink uptime users whoami yes
v4.5.1 - 625 150 - - 54 85 62 66 - 450 209 858 43 392 61 188 124 71 78
v4.5.2 - 625 150 - - 54 85 62 66 - 455 127 858 43 392 61 188 124 71 78
v4.5.3 - 625 150 - - 54 85 62 66 - 455 127 858 43 392 61 188 124 71 78
v4.5.4 - 611 150 - - 54 85 62 66 - 455 127 858 43 392 61 188 124 71 78
v4.5.5 - 611 150 - - 54 85 62 66 - 455 127 858 43 392 61 188 124 71 78
v4.5.6 - 611 150 - - 54 85 62 66 - 455 127 858 43 392 61 188 124 71 78
v4.5.7 - 611 150 - - 54 85 62 66 - 455 127 858 43 392 61 188 124 71 78
v4.5.8 - 611 150 - - 54 85 62 66 - 455 127 854 43 392 61 188 124 71 78
v4.5.9 - 611 150 - - 54 85 62 66 - 455 127 854 43 392 61 188 124 71 78
v4.5.10 - 611 150 - - 54 85 62 66 - 462 118 854 43 392 61 188 124 71 78
v4.5.11 - 611 150 - - 54 85 62 66 - 462 118 854 43 392 61 188 124 71 78
v4.5.12 - 611 150 - - 54 85 62 66 - 469 118 854 43 392 61 188 124 71 78
v5.0 - 611 150 - - 54 85 62 66 - 469 118 854 43 392 61 188 124 71 78
v5.0.1 - 612 151 - - 55 86 63 71 127 471 119 842 44 392 62 189 125 72 79
v5.0.90 - 639 150 - - 51 85 63 70 129 470 118 846 42 391 62 188 124 71 78
v5.0.91 - 639 150 - - 51 85 63 70 129 470 118 846 42 391 62 188 124 71 78
v5.1.0 - 639 154 - - 51 85 63 70 129 466 119 846 43 391 62 188 125 71 62
v5.1.1 - 639 154 - - 51 85 63 70 129 466 119 846 43 391 62 188 125 71 62
v5.1.2 - 638 154 - - 51 85 63 70 127 466 119 845 43 391 62 188 125 71 62
v5.1.3 - 638 154 - - 51 85 63 70 127 466 119 845 43 391 62 191 125 71 62
v5.2.0 - 638 154 - - 51 85 63 70 127 466 119 845 43 391 62 191 125 71 62
v5.2.1 - 669 154 - - 51 85 63 70 132 466 119 845 43 391 62 191 125 71 62
v5.3.0 - 669 150 - - 55 85 63 58 125 537 104 746 43 380 58 172 105 63 63
v5.90 - 671 151 2 - 56 85 63 58 126 539 105 636 51 370 58 172 105 63 63
v5.91 - 671 151 2 - 56 85 63 58 126 539 105 636 51 370 58 172 105 63 63
v5.92 - 671 151 2 - 56 85 63 58 126 539 105 636 51 370 58 172 105 63 63
v6.0 - 693 151 2 - 56 85 62 58 149 539 105 637 51 370 57 171 105 63 63
v6.1 - 693 151 2 - 56 85 62 58 149 539 105 637 51 370 57 172 105 63 63
v6.2 - 697 151 2 - 56 85 62 58 149 536 105 637 51 370 57 186 105 63 63
v6.3 - 697 151 2 - 56 85 62 58 149 536 105 637 51 370 57 186 105 63 63
v6.4 - 697 151 2 - 56 85 62 58 149 536 105 637 51 370 57 186 105 63 63
v6.5 - 697 151 2 - 56 85 62 58 149 536 105 637 51 370 57 186 105 63 63
v6.6 - 697 151 2 - 56 85 62 58 149 536 105 637 51 370 57 186 105 63 63
v6.7 - 697 151 2 - 56 85 62 58 149 536 105 637 51 370 57 186 105 63 63
v6.8 - 706 151 2 - 56 85 62 58 149 536 105 637 51 370 57 186 105 63 63
v6.9 - 706 151 2 - 56 85 62 58 149 536 105 637 51 370 57 186 105 63 63
v6.9.89 - 705 151 2 - 56 85 62 58 156 537 105 642 51 370 57 186 105 63 63
v6.9.90 - 705 151 2 - 56 85 62 58 156 537 105 642 51 370 57 186 105 63 63
v6.9.91 - 705 151 2 - 56 85 62 58 156 537 105 642 51 370 57 186 105 63 63
v6.9.92 - 705 151 2 - 56 85 62 58 156 537 105 642 51 370 57 186 105 63 63
v6.10 - 705 151 2 - 56 85 62 58 156 537 105 642 51 370 57 186 105 63 63
v6.11 - 705 151 2 87 56 85 62 58 156 536 105 641 51 370 57 186 105 63 63
v6.12 - 705 151 2 89 56 85 62 58 156 536 107 643 51 370 57 189 107 63 63
v7.0 - 1085 493 2 87 55 84 61 57 155 535 106 641 50 369 56 197 106 62 62
v7.1 - 794 449 2 87 53 81 61 57 155 543 106 646 50 369 56 196 106 62 62
v7.2 - 794 448 2 87 53 81 61 57 155 543 106 647 50 369 56 196 106 62 62
v7.3 - 794 448 2 87 53 81 61 57 155 543 106 647 50 369 56 196 106 62 62
