name,loc,binary,runtime
arch,,,0
base64,,193,3
basename,133,165,3
cat,526,186,7
chcon,447,310,9
chgrp,250,301,7
chmod,436,286,7
chown,261,313,8
chroot,321,204,3
cksum,209,599,0
comm,359,192,4
cp,907,596,23
csplit,1063,534,8
cut,412,202,8
date,564,393,9
dd,1913,297,13
df,1363,369,14
dir,,643,?
dircolors,634,196,4
dirname,98,163,1
du,816,778,22
echo,216,163,2
env,637,205,10
expand,144,180,2
expr,779,529,0
factor,1927,352,1
false,2,154,0
fmt,665,197,7
fold,225,181,3
groups,103,177,0
head,779,212,5
hostid,50,162,0
hostname,80,0,0
id,343,204,7
install,799,0,15
join,899,235,4
kill,253,176,3
link,59,162,0
ln,522,321,12
logname,52,162,0
ls,4100,643,41
md5sum,,215,11
mkdir,229,353,4
mkfifo,150,319,2
mknod,225,332,2
mktemp,280,182,5
mv,374,602,10
nice,157,174,1
nl,454,493,11
nohup,152,182,0
nproc,90,182,2
numfmt,1196,266,15
od,1432,262,9
paste,357,177,3
pathchk,298,167,2
pinky,438,194,0
pr,1705,333,24
printenv,105,160,1
printf,574,201,3
ptx,1218,602,16
pwd,266,176,2
readlink,141,223,7
realpath,222,228,9
rm,298,318,8
rmdir,209,175,3
runcon,193,173,5
seq,527,194,3
shred,841,284,8
shuf,435,279,7
sleep,102,176,1
sort,3423,510,28
split,1279,255,14
stat,1690,362,6
stdbuf,287,194,3
stty,2074,255,3
sum,148,221,1
tac,481,491,3
tail,1752,320,12
tee,208,185,3
test,653,189,0
timeout,423,189,5
touch,317,346,5
tr,1322,219,4
true,50,154,0
truncate,306,181,4
tsort,368,251,0
tty,86,160,1
uname,288,163,9
unexpand,201,182,3
uniq,488,213,10
unlink,54,162,0
uptime,194,239,2
users,104,169,0
vdir,,643,?
wc,808,252,6
who,621,198,14
whoami,59,163,0
yes,88,166,0
