program loc size
[ - -
arch - 14384
b2sum - -
base32 - 18576
base64 73 18576
basename 20 18544
basenc - -
cat 40 18576
chcon - -
chgrp 53 26800
chmod 27 22704
chown - 26800
chroot 11 18544
cksum 52 18576
comm 47 18544
cp 317 31200
csplit - -
cut 163 26832
date 112 26904
dd 182 22816
df 124 26912
dir - -
dircolors - -
dirname 6 18544
du 88 26800
echo 21 18544
env 33 22672
expand 82 22672
expr 155 18768
factor 48 18544
false 5 14352
fmt 47 26800
fold 59 18576
groups - 18576
head 34 18544
hostid 6 18512
hostname 37 26832
id 102 18608
install - 35392
join - -
kill 80 26880
link 7 18512
ln 59 26832
logname - 18608
ls 364 35184
md5sum 362 26808
mkdir 18 18544
mkfifo 18 18512
mknod 23 18544
mktemp 50 26800
mv - 31232
nice 15 18544
nl 39 22704
nohup 23 18576
nproc - 18576
numfmt - -
od 205 22704
paste 79 22672
pathchk - -
pinky - -
pr - -
printenv 20 18512
printf 86 22640
ptx - -
pwd 23 18544
readlink 17 22672
realpath - 22672
rm 64 26832
rmdir 23 18544
runcon - -
seq 82 22640
sha1sum - 26808
sha224sum - 26808
sha256sum - 26808
sha384sum - 26808
sha512sum - 26808
shred 51 22704
shuf - -
sleep 7 18512
sort 226 26800
split 63 22672
stat 138 27248
stdbuf - -
stty 356 35136
sum - -
sync 5 14352
tac 21 14416
tail 209 26800
tee 33 18576
test 104 18576
timeout 61 26976
touch 43 26800
tr 217 22720
true 5 14384
truncate 33 18576
tsort - -
tty 7 18544
uname 29 18544
unexpand - -
uniq 65 18576
unlink 6 18512
uptime 46 18576
users - -
vdir - -
wc 68 22672
who 17 18576
whoami - 18608
yes 13 14352
