version,true,false
v4.5.1,43,-
v4.5.2,43,-
v4.5.3,43,-
v4.5.4,43,-
v4.5.5,43,-
v4.5.6,43,-
v4.5.7,43,-
v4.5.8,43,-
v4.5.9,43,-
v4.5.10,43,-
v4.5.11,43,-
v4.5.12,43,-
v5.0,43,-
v5.0.1,44,-
v5.0.90,42,-
v5.0.91,42,-
v5.1.0,43,-
v5.1.1,43,-
v5.1.2,43,-
v5.1.3,43,-
v5.2.0,43,-
v5.2.1,43,-
v5.3.0,43,-
v5.90,51,2
v5.91,51,2
v5.92,51,2
v6.0,51,2
v6.1,51,2
v6.2,51,2
v6.3,51,2
v6.4,51,2
v6.5,51,2
v6.6,51,2
v6.7,51,2
v6.8,51,2
v6.9,51,2
v6.9.89,51,2
v6.9.90,51,2
v6.9.91,51,2
v6.9.92,51,2
v6.10,51,2
v6.11,51,2
v6.12,51,2
v7.0,50,2
v7.1,50,2
v7.2,50,2
v7.3,50,2
v7.4,50,2
v7.5,50,2
v7.6,50,2
v8.0,50,2
v8.1,50,2
v8.2,50,2
v8.3,50,2
v8.4,50,2
v8.5,50,2
v8.6,50,2
v8.7,50,2
v8.8,50,2
v8.9,50,2
v8.10,50,2
v8.11,50,2
v8.12,50,2
v8.13,50,2
v8.14,50,2
v8.15,50,2
v8.16,50,2
v8.17,50,2
v8.18,50,2
v8.19,50,2
v8.20,50,2
v8.21,50,2
v8.22,50,2
v8.23,50,2
v8.24,50,2
v8.25,50,2
v8.26,50,2
v8.27,50,2
v8.28,50,2
v8.29,50,2
v8.30,50,2
v8.31,50,2
v8.32,50,2
v9.0,50,2
v9.1,50,2
